episode,total_reward,steps,avg_loss,epsilon,solved
209,-52.00,1024,0.0041,0.5337,0
210,-47.00,1024,0.0055,0.5321,0
211,16.00,79,0.0055,0.5305,1
212,-40.00,1024,0.0039,0.5289,0
213,-35.00,1024,0.0032,0.5273,0
214,21.50,76,0.0025,0.5257,1
215,-43.00,1024,0.0029,0.5242,0
216,21.50,72,0.0016,0.5226,1
217,18.00,61,0.0019,0.5210,1
218,-43.00,1024,0.0031,0.5195,0
219,17.50,72,0.0022,0.5179,1
220,18.00,67,0.0029,0.5163,1
221,-36.50,1024,0.0022,0.5148,0
222,-45.00,1024,0.0024,0.5132,0
223,-41.00,1024,0.0023,0.5117,0
224,-41.50,1024,0.0022,0.5102,0
225,17.50,66,0.0012,0.5086,1
226,-50.50,1024,0.0021,0.5071,0
227,-47.50,1024,0.0019,0.5056,0
228,-44.00,1024,0.0024,0.5041,0
229,-45.50,1024,0.0017,0.5026,0
230,-43.00,1024,0.0017,0.5011,0
231,-55.00,1024,0.0024,0.4996,0
232,-41.50,1024,0.0019,0.4981,0
233,18.50,78,0.0016,0.4966,1
234,18.00,109,0.0013,0.4951,1
235,-42.00,1024,0.0019,0.4936,0
236,9.50,264,0.0015,0.4921,1
237,21.00,65,0.0021,0.4906,1
238,18.50,52,0.0015,0.4892,1
239,17.50,70,0.0016,0.4877,1
240,-38.00,1024,0.0014,0.4862,0
241,-50.00,1024,0.0020,0.4848,0
242,-46.00,1024,0.0020,0.4833,0
243,-42.00,1024,0.0016,0.4819,0
244,19.00,51,0.0017,0.4804,1
245,-34.00,1024,0.0012,0.4790,0
246,15.50,90,0.0012,0.4775,1
247,-34.50,1024,0.0019,0.4761,0
248,-41.00,1024,0.0014,0.4747,0
249,18.00,91,0.0020,0.4733,1
250,-40.00,1024,0.0020,0.4718,0
251,19.50,66,0.0010,0.4704,1
252,17.50,70,0.0016,0.4690,1
253,-39.00,1024,0.0017,0.4676,0
254,22.00,73,0.0025,0.4662,1
255,-38.00,1024,0.0020,0.4648,0
256,21.00,75,0.0018,0.4634,1
257,19.00,99,0.0016,0.4620,1
258,-26.50,1024,0.0022,0.4606,0
259,18.00,61,0.0011,0.4592,1
260,-47.00,1024,0.0022,0.4579,0
261,-35.50,1024,0.0020,0.4565,0
262,-30.00,1024,0.0017,0.4551,0
263,21.00,57,0.0017,0.4538,1
264,21.50,50,0.0030,0.4524,1
265,-46.50,1024,0.0024,0.4510,0
266,-36.50,1024,0.0017,0.4497,0
267,17.50,76,0.0024,0.4483,1
268,-26.50,1024,0.0023,0.4470,0
269,-30.00,769,0.0021,0.4457,1
270,-22.00,1024,0.0024,0.4443,0
271,-32.00,1024,0.0022,0.4430,0
272,-41.00,1024,0.0019,0.4417,0
273,-46.50,1024,0.0017,0.4403,0
274,-35.50,1024,0.0024,0.4390,0
275,-29.50,1024,0.0019,0.4377,0
276,16.00,57,0.0039,0.4364,1
277,-39.50,1024,0.0019,0.4351,0
278,-30.00,1024,0.0020,0.4338,0
279,-36.50,1024,0.0017,0.4325,0
280,19.50,56,0.0008,0.4312,1
281,19.50,90,0.0008,0.4299,1
282,-34.00,1024,0.0019,0.4286,0
283,-21.50,1024,0.0021,0.4273,0
284,-31.50,1024,0.0018,0.4260,0
285,-23.00,1024,0.0014,0.4247,0
286,-38.50,1024,0.0015,0.4235,0
287,21.50,68,0.0018,0.4222,1
288,-40.50,1024,0.0015,0.4209,0
289,-30.50,1024,0.0017,0.4197,0
290,-42.00,1024,0.0013,0.4184,0
291,19.00,53,0.0023,0.4171,1
292,-35.50,1024,0.0013,0.4159,0
293,-32.50,1024,0.0015,0.4146,0
294,-31.50,1024,0.0014,0.4134,0
295,-22.50,1024,0.0011,0.4122,0
296,-23.50,1024,0.0017,0.4109,0
297,-29.50,1024,0.0013,0.4097,0
298,-43.50,1024,0.0011,0.4085,0
299,-37.00,1024,0.0011,0.4072,0
300,-29.00,1024,0.0015,0.4060,0
301,18.50,62,0.0019,0.4048,1
